,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
439,-218307.0,-236392.0,,1704.0,481384.0,,529538.0,1028776.0,233639.0,79998.0,,184626.0,1265168.0,FX,Federal Express Corporation,P,2020,1,
440,-205303.0,-74556.0,56491.0,757.0,18460.0,1022.0,1909.0,105295.0,68911.0,10318.0,16170.0,42349.0,179851.0,DL,Delta Air Lines Inc.,P,2020,3,
441,-193550.0,-236419.0,1068912.0,7041.0,16929.0,5197.0,332493.0,1552013.0,552050.0,153764.0,155549.0,237113.0,1788433.0,AS,Alaska Airlines Inc.,D,2020,1,
442,-193357.0,-49333.0,71655.0,0.0,4308.0,2514.0,3517.0,116954.0,44500.0,10622.0,17811.0,46649.0,166287.0,DL,Delta Air Lines Inc.,L,2020,3,
443,-179163.18,-179163.18,27466.32,1169.85,5133.71,0.0,1727.19,50526.19,65652.4,32184.38,19175.05,25611.43,229689.37,AA,American Airlines Inc.,L,2020,2,
444,-177239.02,-85764.05,698142.64,491.87,17419.27,,113931.74,879872.53,318320.85,94664.95,98398.36,186907.12,965636.58,UA,United Air Lines Inc.,L,2020,1,
445,-172456.35,-172456.35,14413.08,9880.75,73187.5,0.0,729.38,102586.08,87969.68,27751.21,17815.11,23648.33,275042.43,AA,American Airlines Inc.,P,2020,3,
446,-167845.0,-663499.0,,14.0,436661.0,,1198498.0,1642035.0,168802.0,143886.0,,240398.0,2305534.0,FX,Federal Express Corporation,A,2020,2,
447,-140094.74,-332025.96,67492.09,0.0,0.0,0.0,-22.63,134373.32,193972.71,36159.04,40009.84,42326.08,466399.28,NK,Spirit Air Lines,D,2020,2,
448,-139209.75,-80715.9,335950.27,248.75,16100.72,1774.15,28116.56,402195.89,173673.21,68569.02,49351.18,69990.98,482911.79,HA,Hawaiian Airlines Inc.,D,2020,1,
449,-120359.29,-210264.14,104513.34,818.89,19070.11,,30594.99,169373.43,101852.91,25653.63,28674.37,90616.67,379637.57,UA,United Air Lines Inc.,L,2020,3,
450,-115207.0,-55482.0,7316.0,0.0,824.0,2917.0,10461.0,38104.0,15118.0,2914.0,11019.0,24293.0,93586.0,DL,Delta Air Lines Inc.,L,2020,2,
451,-115137.26,-182057.84,90116.94,0.0,0.0,3237.37,1913.2,120467.57,78104.45,23615.74,16442.14,29343.3,302525.41,G4,Allegiant Air,D,2020,2,
